doctor_name,qualification,specialization,designation,chamber,division,image_url,profile_url,,
Dr. Anwar Hossain Bablu,"MBBS, FCPS (Medicine), MD (Neurology)","Brain, Nerve, Spine, Stroke & Neuromedicine Specialist","Assistant Professor, Neuromedicine",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Anwar-Hossain-Bablu.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-anwar-hossain-bablu/,,
Dr. Indrani Kar,"MBBS (DU), BCS (Health), FCPS (OBGYN)",Gynecologist & Surgeon,"Consultant, Gynecology & Obstetrics",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Indrani-Kar.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-indrani-kar/,,
Dr. Md. Aminul Haque,"MBBS, BCS (Health), FCPS (ENT)","Ear, Nose, Throat Specialist & Head Neck Surgeon","Consultant, ENT",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Aminul-Haque.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-aminul-haque/,,
Prof. Dr. Syed Zahid Hossain,"MBBS, FCPS (Pediatrics), D-MED (AU), Fellow (AU)",Child Diseases Specialist,"Former Professor & Head, Pediatrics",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-Syed-Zahid-Hossain.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-syed-zahid-hossain/,,
Dr. M.K. Zaman,"MBBS, FMD (Medicine), CCD (BIRDEM)",Medicine & Diabetes Specialist,"Consultant, Department of Medicine",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-M.K.-Zaman.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-m-k-zaman/,,
Dr. Mohammed Ali Rumi,"MBBS, BCS (Health), MD (Nephrology)",Kidney Diseases Specialist,"Assistant Professor & Head, Nephrology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Mohammed-Ali-Rumi.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-mohammed-ali-rumi/,,
Dr. Md. Samsul Arafin (Rana),"MBBS (MMC), BCS (HEALTH), MD (HEPATOLOGY)-BSMMU",Gastro-Liver & Medicine Specialist,"Consultant, Hepatology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Samsul-Arafin-Rana.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-samsul-arafin-rana/,,
Dr. Md. Nazmul Islam,"MBBS, BCS (Health), FCPS (ENT), MCPS (ENT), DLO (ENT)",ENT Specialist & Head Neck Surgeon,"Consultant, ENT","General Hospital, Barisal",Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Nazmul-Islam.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-nazmul-islam/,,
Dr. Manabendra Das,"MBBS, MD (Nephrology)","Kidney Diseases, Dialysis & Medicine Specialist","Resident Physician, Nephrology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Manabendra-Das.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-manabendra-das/,,
Dr. M. Shariful Islam Rumen,"MBBS (Dhaka), BCS (Health), FCPS (ENT)","Ear, Nose, Throat Specialist & Head Neck Surgeon",Higher Training in Ear Microsurgery & Endoscopic Sinus Surgery (India),Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-M.-Shariful-Islam-Rumen.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-m-shariful-islam-rumen/,,
